                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.71027,                 0.6541,                0.91256,                0.86545,                0.83602,                0.89081,                0.76994,                0.59912,                 0.5662,                0.86041,               0.008845,               0.008845,               0.008845
                     38,                0.70254,                0.65337,                0.91243,                0.86512,                0.83933,                0.89158,                0.77742,                0.60304,                0.54899,                0.86753,               0.008812,               0.008812,               0.008812
                     39,                0.69455,                0.63832,                0.90933,                0.85775,                0.83533,                0.88838,                0.77347,                0.58987,                0.56112,                 0.8651,               0.008779,               0.008779,               0.008779
                     40,                 0.6928,                0.63402,                0.90654,                 0.8778,                0.84244,                0.89819,                0.77988,                0.58984,                0.55122,                0.85744,               0.008746,               0.008746,               0.008746
                     41,                0.68394,                0.61868,                 0.9038,                0.86072,                0.85528,                0.90526,                 0.7938,                0.58855,                0.53775,                0.85689,               0.008713,               0.008713,               0.008713
                     42,                0.68586,                0.62216,                0.90438,                0.86757,                0.86442,                0.91089,                0.79835,                0.57143,                0.52798,                0.85688,                0.00868,                0.00868,                0.00868
                     43,                 0.6804,                0.61794,                0.90132,                0.87798,                 0.8446,                0.90875,                0.79541,                0.57195,                0.53246,                0.85275,               0.008647,               0.008647,               0.008647
                     44,                0.67485,                0.60534,                0.89935,                0.87374,                0.84467,                  0.904,                0.78706,                0.57971,                0.52985,                0.85533,               0.008614,               0.008614,               0.008614
                     45,                0.67026,                 0.6045,                0.89673,                0.87677,                0.83885,                0.89791,                0.78899,                0.57269,                0.54018,                0.85369,               0.008581,               0.008581,               0.008581
                     46,                0.66474,                0.60041,                0.89727,                0.87357,                0.86037,                 0.9077,                0.79422,                0.56157,                0.52274,                0.85369,               0.008548,               0.008548,               0.008548
                     47,                0.66033,                0.58893,                0.89384,                0.86853,                0.86998,                0.90817,                0.80229,                0.56156,                0.52738,                0.85351,               0.008515,               0.008515,               0.008515
                     48,                0.65736,                0.58534,                0.89649,                0.88334,                0.86237,                  0.907,                0.79549,                0.56374,                0.52096,                0.85253,               0.008482,               0.008482,               0.008482
                     49,                0.65647,                0.58373,                0.89325,                0.89863,                0.86381,                 0.9199,                0.80864,                0.56558,                0.51658,                0.85047,               0.008449,               0.008449,               0.008449
                     50,                0.65456,                0.58018,                 0.8946,                0.87075,                0.85466,                0.91186,                0.80164,                0.55814,                0.52319,                 0.8508,               0.008416,               0.008416,               0.008416
                     51,                0.64131,                0.57047,                0.89008,                0.87356,                0.86253,                0.90898,                0.79917,                 0.5604,                0.51758,                0.85105,               0.008383,               0.008383,               0.008383
                     52,                0.64801,                0.57274,                0.89304,                0.87079,                0.87218,                0.91372,                0.80304,                0.55751,                0.50608,                0.84754,                0.00835,                0.00835,                0.00835
                     53,                 0.6459,                0.56684,                0.88916,                0.90203,                0.85338,                0.92214,                0.81178,                0.54925,                0.50686,                0.84492,               0.008317,               0.008317,               0.008317
                     54,                 0.6368,                0.55955,                0.88828,                0.87588,                0.86888,                0.92046,                0.81131,                0.55735,                0.50755,                  0.848,               0.008284,               0.008284,               0.008284
                     55,                0.63323,                0.56288,                0.88426,                0.88874,                0.85484,                0.91973,                0.80977,                0.55408,                0.50485,                0.84588,               0.008251,               0.008251,               0.008251
                     56,                0.63259,                 0.5588,                0.88277,                0.90113,                0.85666,                0.91405,                0.80785,                0.54394,                0.51543,                 0.8423,               0.008218,               0.008218,               0.008218
                     57,                 0.6337,                0.55402,                0.88763,                0.89114,                0.84575,                0.91438,                0.80814,                0.55351,                0.49903,                0.84731,               0.008185,               0.008185,               0.008185
                     58,                0.63055,                0.55402,                0.88499,                 0.8846,                0.86485,                0.91529,                0.80374,                0.54607,                 0.4942,                0.84615,               0.008152,               0.008152,               0.008152
                     59,                0.62294,                0.54709,                0.88394,                0.88425,                0.88772,                0.91653,                0.81169,                0.54749,                 0.4963,                0.84707,               0.008119,               0.008119,               0.008119
                     60,                 0.6201,                0.53881,                0.87938,                0.89584,                0.86269,                0.92422,                0.81758,                 0.5429,                0.48345,                0.84691,               0.008086,               0.008086,               0.008086
                     61,                0.61884,                0.54133,                0.88122,                0.88457,                 0.8686,                 0.9196,                0.80719,                0.54735,                0.49596,                0.84528,               0.008053,               0.008053,               0.008053
                     62,                0.61523,                0.53164,                0.88207,                0.89523,                0.86755,                0.92512,                0.81632,                0.53811,                0.48293,                0.84293,                0.00802,                0.00802,                0.00802
                     63,                0.61132,                0.53144,                0.87648,                0.88714,                 0.8624,                0.91591,                0.80698,                0.55368,                0.49061,                0.84394,               0.007987,               0.007987,               0.007987
                     64,                0.61168,                0.53087,                0.87987,                0.89411,                0.85047,                0.91088,                0.80835,                0.53912,                0.49053,                 0.8427,               0.007954,               0.007954,               0.007954
                     65,                0.60982,                0.52807,                 0.8825,                0.86291,                0.88549,                0.91866,                0.81261,                0.54531,                0.49814,                 0.8449,               0.007921,               0.007921,               0.007921
                     66,                0.61058,                0.52367,                0.87744,                0.89434,                0.86039,                0.91917,                0.81675,                0.53606,                0.48834,                0.84205,               0.007888,               0.007888,               0.007888
                     67,                 0.6072,                0.52058,                0.87959,                0.89323,                0.87552,                0.91761,                0.80992,                0.52707,                0.47972,                 0.8397,               0.007855,               0.007855,               0.007855
                     68,                0.60281,                0.51387,                0.87489,                0.88076,                0.86326,                0.92128,                0.81542,                0.52868,                0.48306,                 0.8405,               0.007822,               0.007822,               0.007822
                     69,                0.60392,                 0.5112,                0.87574,                0.90454,                0.85448,                0.92037,                0.81363,                0.53904,                0.47639,                0.84162,               0.007789,               0.007789,               0.007789
                     70,                0.60308,                0.50922,                0.87569,                0.90005,                0.86266,                 0.9237,                0.82097,                0.53541,                0.47618,                0.84217,               0.007756,               0.007756,               0.007756
                     71,                0.59627,                0.51359,                0.87386,                0.87812,                0.86939,                0.92142,                 0.8145,                0.53441,                0.47177,                0.84096,               0.007723,               0.007723,               0.007723
                     72,                0.59688,                0.50196,                0.87406,                0.89449,                 0.8638,                0.92098,                0.81843,                0.53429,                0.47844,                0.84345,                0.00769,                0.00769,                0.00769
                     73,                0.59598,                0.50118,                0.87414,                0.90227,                0.85649,                0.91864,                0.81547,                0.52446,                0.47216,                0.84156,               0.007657,               0.007657,               0.007657
                     74,                0.59008,                0.49656,                0.87198,                0.88895,                0.87406,                0.91657,                0.81261,                0.52565,                0.46564,                0.83934,               0.007624,               0.007624,               0.007624
                     75,                0.58621,                0.49469,                0.86986,                0.88397,                0.86564,                0.91031,                0.81055,                0.53125,                0.48236,                0.83967,               0.007591,               0.007591,               0.007591
                     76,                0.59083,                0.49733,                0.87255,                0.89893,                0.87072,                0.92812,                0.82801,                0.52553,                0.46292,                0.83903,               0.007558,               0.007558,               0.007558
                     77,                0.58161,                0.48673,                0.86837,                0.89608,                0.88632,                0.92798,                0.82731,                0.53387,                 0.4705,                0.83718,               0.007525,               0.007525,               0.007525
                     78,                0.58852,                0.49155,                0.87106,                0.90209,                0.86746,                0.92291,                0.82286,                 0.5296,                0.46291,                0.83798,               0.007492,               0.007492,               0.007492
                     79,                0.58599,                0.49208,                0.86939,                 0.8803,                0.88306,                0.92183,                0.81915,                 0.5297,                0.47858,                0.84002,               0.007459,               0.007459,               0.007459
                     80,                  0.578,                0.48119,                0.86814,                0.89872,                0.86942,                0.92181,                0.82058,                0.52496,                0.47529,                0.83884,               0.007426,               0.007426,               0.007426
                     81,                0.57643,                0.47474,                0.86591,                0.88532,                0.89175,                0.92761,                0.82885,                0.52546,                0.46656,                0.83817,               0.007393,               0.007393,               0.007393
                     82,                0.57434,                0.47806,                0.86819,                 0.8975,                0.88432,                0.92393,                0.82036,                0.52823,                 0.4715,                0.84154,                0.00736,                0.00736,                0.00736
                     83,                0.57948,                0.47679,                0.86585,                0.88738,                0.88649,                0.92725,                 0.8294,                0.52179,                0.45605,                 0.8385,               0.007327,               0.007327,               0.007327
                     84,                0.57915,                0.48003,                0.86738,                 0.9028,                0.87564,                0.92693,                0.82781,                 0.5186,                0.45599,                0.83658,               0.007294,               0.007294,               0.007294
                     85,                0.57268,                0.46886,                 0.8645,                0.90359,                0.88776,                0.92888,                0.82857,                0.51977,                0.45754,                0.83567,               0.007261,               0.007261,               0.007261
                     86,                0.57119,                0.46935,                0.86575,                0.87942,                0.89468,                0.92353,                0.82082,                0.52401,                0.45865,                0.83882,               0.007228,               0.007228,               0.007228
                     87,                0.57629,                0.47054,                0.86631,                0.89896,                0.86231,                0.92261,                0.82396,                0.53368,                 0.4591,                0.83896,               0.007195,               0.007195,               0.007195
                     88,                0.57063,                0.46256,                0.86603,                0.88376,                0.87322,                 0.9259,                0.82673,                0.52999,                0.45688,                0.83891,               0.007162,               0.007162,               0.007162
                     89,                0.57568,                0.46521,                0.86571,                0.89997,                0.88056,                  0.927,                0.82716,                0.51624,                 0.4527,                0.83486,               0.007129,               0.007129,               0.007129
                     90,                0.56435,                0.45898,                0.86325,                0.89233,                0.87308,                0.93009,                0.83093,                0.51623,                0.45053,                 0.8354,               0.007096,               0.007096,               0.007096
                     91,                0.56566,                0.46029,                 0.8652,                0.88231,                 0.8745,                0.92775,                0.82938,                0.51161,                0.45751,                0.83272,               0.007063,               0.007063,               0.007063
                     92,                0.56368,                0.45528,                0.86238,                0.88135,                0.89442,                0.93358,                0.83353,                0.51961,                0.45742,                0.83544,                0.00703,                0.00703,                0.00703
                     93,                 0.5631,                0.45571,                0.86272,                0.90552,                0.88353,                0.93322,                0.83188,                0.51477,                 0.4627,                0.83356,               0.006997,               0.006997,               0.006997
                     94,                0.56347,                0.45218,                0.86065,                0.89219,                0.88092,                0.93042,                0.83225,                0.51882,                0.45359,                 0.8366,               0.006964,               0.006964,               0.006964
                     95,                0.55553,                0.44998,                0.86192,                 0.9006,                0.86545,                0.92844,                0.82797,                0.52027,                0.45973,                0.83839,               0.006931,               0.006931,               0.006931
                     96,                0.56032,                0.45104,                 0.8604,                0.90038,                0.87593,                 0.9252,                0.82682,                0.51469,                0.45724,                0.83612,               0.006898,               0.006898,               0.006898
                     97,                0.55407,                0.44574,                0.86153,                0.89569,                0.87758,                0.92935,                0.83121,                0.51405,                0.45162,                0.83671,               0.006865,               0.006865,               0.006865
