                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.87411,                 0.8484,                0.98844,                0.75457,                  0.778,                0.81454,                0.66892,                0.73648,                0.73048,                0.94061,               0.008878,               0.008878,               0.008878
                     37,                0.86572,                0.84095,                0.98572,                0.76743,                0.79523,                0.82567,                0.67564,                0.70658,                0.71827,                0.92786,               0.008845,               0.008845,               0.008845
                     38,                0.85938,                0.84706,                0.98308,                0.80032,                 0.7774,                 0.8362,                0.69619,                0.70783,                0.70304,                0.92433,               0.008812,               0.008812,               0.008812
                     39,                0.85075,                0.82659,                0.97906,                0.79261,                0.78913,                0.84545,                0.69903,                0.69158,                0.68277,                0.92271,               0.008779,               0.008779,               0.008779
                     40,                0.84597,                0.81982,                0.97635,                 0.7829,                0.78486,                0.83048,                0.68897,                0.68438,                0.69835,                0.92096,               0.008746,               0.008746,               0.008746
                     41,                0.83483,                0.80871,                0.97354,                0.81872,                0.76429,                0.84358,                0.70249,                0.68518,                0.67598,                0.91887,               0.008713,               0.008713,               0.008713
                     42,                0.83868,                0.81121,                0.97266,                0.80609,                0.79221,                0.84993,                0.71439,                0.68088,                0.67569,                0.91898,                0.00868,                0.00868,                0.00868
                     43,                0.83305,                0.80498,                0.97043,                0.73651,                0.79335,                 0.8326,                0.68681,                0.72421,                0.70467,                0.92823,               0.008647,               0.008647,               0.008647
                     44,                0.82597,                0.78982,                0.96517,                0.83822,                0.78862,                0.85275,                 0.7087,                0.68574,                0.66135,                 0.9218,               0.008614,               0.008614,               0.008614
                     45,                0.81937,                0.78989,                0.96139,                0.82466,                0.74842,                0.83852,                0.69013,                0.69392,                0.67974,                0.92247,               0.008581,               0.008581,               0.008581
                     46,                0.81294,                0.78685,                0.96399,                0.80772,                0.79724,                0.84347,                0.70542,                0.67947,                0.65549,                0.91689,               0.008548,               0.008548,               0.008548
                     47,                0.80905,                0.77732,                0.95828,                0.79831,                0.81301,                0.85893,                0.71929,                0.66162,                 0.6478,                0.91088,               0.008515,               0.008515,               0.008515
                     48,                0.80799,                0.76997,                0.96029,                0.83423,                0.80577,                0.86357,                0.72496,                0.66261,                0.64516,                0.90861,               0.008482,               0.008482,               0.008482
                     49,                0.80233,                0.76437,                0.95715,                0.84568,                0.79276,                0.86981,                0.73121,                0.65566,                0.63564,                0.90538,               0.008449,               0.008449,               0.008449
                     50,                0.80187,                0.76517,                0.95874,                 0.8089,                0.81639,                0.87113,                0.72944,                0.65316,                0.64329,                0.90847,               0.008416,               0.008416,               0.008416
                     51,                0.78613,                 0.7515,                0.95229,                 0.8393,                0.77967,                0.86546,                0.73373,                0.65557,                0.64269,                0.90588,               0.008383,               0.008383,               0.008383
                     52,                0.79308,                0.75487,                0.95341,                0.83077,                0.81778,                0.87858,                0.73966,                0.65932,                0.64242,                 0.9044,                0.00835,                0.00835,                0.00835
                     53,                0.79129,                0.74865,                0.94966,                0.85698,                0.80977,                0.87543,                0.74092,                0.63726,                0.61994,                 0.8996,               0.008317,               0.008317,               0.008317
                     54,                0.77963,                0.73879,                0.94995,                0.82713,                0.81946,                0.87849,                0.74857,                0.63334,                0.62058,                0.89809,               0.008284,               0.008284,               0.008284
                     55,                0.77809,                0.73965,                0.94425,                0.82996,                0.83526,                 0.8741,                0.74645,                0.64361,                0.62117,                0.89898,               0.008251,               0.008251,               0.008251
                     56,                0.77465,                0.73784,                0.94286,                0.84692,                0.81793,                0.87989,                0.74553,                 0.6371,                0.61568,                0.89859,               0.008218,               0.008218,               0.008218
                     57,                0.77466,                0.73504,                0.94632,                0.82101,                0.82644,                0.87532,                0.74238,                0.64653,                0.61302,                0.89978,               0.008185,               0.008185,               0.008185
                     58,                0.77318,                0.72974,                 0.9443,                0.82387,                0.84092,                0.87616,                0.74132,                0.63252,                0.60691,                0.89856,               0.008152,               0.008152,               0.008152
                     59,                0.76367,                0.72306,                0.94225,                0.82045,                0.84144,                0.88197,                0.74628,                0.64001,                0.61538,                0.89664,               0.008119,               0.008119,               0.008119
                     60,                0.75781,                0.71603,                0.93651,                0.84232,                0.82995,                0.87721,                 0.7473,                0.62757,                 0.6035,                0.89522,               0.008086,               0.008086,               0.008086
                     61,                0.75646,                0.71794,                0.93899,                0.84162,                0.83745,                0.88833,                0.75212,                0.62865,                0.59137,                0.89336,               0.008053,               0.008053,               0.008053
                     62,                0.75539,                0.70887,                0.93924,                0.83073,                0.84521,                0.88986,                 0.7635,                0.61484,                0.58156,                 0.8878,                0.00802,                0.00802,                0.00802
                     63,                0.75069,                0.70751,                0.93284,                0.85149,                0.81242,                0.87485,                0.73675,                0.62873,                0.60097,                0.89649,               0.007987,               0.007987,               0.007987
                     64,                 0.7495,                0.70503,                0.93745,                0.85287,                0.81355,                0.88838,                0.75403,                0.62696,                0.59016,                0.89194,               0.007954,               0.007954,               0.007954
                     65,                 0.7446,                0.70244,                0.93872,                0.84167,                0.83816,                0.89102,                0.75942,                0.61819,                0.59205,                0.89274,               0.007921,               0.007921,               0.007921
